date,port,avg_wait_hours,max_wait_hours,port_congestion_index,route_observations,source,source_type
2021-01-01,Chennai Port,16.025714285714287,23.65,0.0,7,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-01,Kamarajar Port (Ennore),17.88,28.59,0.0,3,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-01,Kolkata / Haldia Dock Complex (HDC),32.06166666666667,46.23,0.2660726633056834,6,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-01,Paradip Port,28.384999999999998,41.65,0.18717084055963473,4,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),11.024999999999999,17.38,0.0,4,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-01,Visakhapatnam Port (Vizag),20.226666666666667,39.47,0.01209177331488952,6,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-02,Chennai Port,16.83857142857143,24.0,0.0,7,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-02,Kamarajar Port (Ennore),15.770000000000001,22.76,0.0,3,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-02,Kolkata / Haldia Dock Complex (HDC),32.376666666666665,38.55,0.2728326109480239,6,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-02,Paradip Port,31.7,46.72,0.2583112419385517,4,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-02,V.O. Chidambaranar Port (Tuticorin / VOC Port),12.46,17.75,0.0,4,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-02,Visakhapatnam Port (Vizag),23.0,42.88,0.07160792610248015,6,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-03,Chennai Port,18.555714285714284,26.12,0.0,7,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-03,Kamarajar Port (Ennore),19.463333333333335,28.6,0.0,3,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
2021-01-03,Kolkata / Haldia Dock Complex (HDC),33.58833333333333,38.32,0.29883516087385226,6,DERIVED: historical freight dataset dest_port_wait_hours; daily route-aggregated congestion proxy,DERIVED_PROXY
